Gene ID,Gene Description,Gene Accession Number
1924,TUMOR NECROSIS FACTOR-INDUCIBLE PROTEIN TSG-6 PRECURSOR,M31165_at
1925,PTX3 Pentaxin-related gene; rapidly induced by IL-1 beta,M31166_at
1926,ECGF1 Endothelial differentiation protein (edg-1),M31210_at
1927,Oncoprotein 18 (Op18) gene,M31303_rna1_at
1928,GNB3 Guanine nucleotide binding protein (G protein); beta polypeptide 3,M31328_at
1929,Ribosomal protein S24,M31520_at
1930,HLA-DNA Major histocompatibility complex; class II; DN alpha,M31525_at
1931,PHKG2 Phosphorylase kinase; gamma 2 (testis),M31606_at
1932,X BOX BINDING PROTEIN-1,M31627_at
1933,HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome),M31642_at
1934,SHBG Sex hormone-binding globulin,M31651_at
1935,GT mitochondrial solute carrier protein homologue mRNA,M31659_at
1936,PRLR Prolactin receptor,M31661_at
1937,INHBB Inhibin; beta B (activin AB beta polypeptide),M31682_at
1938,ERCC3 DNA repair helicase ERCC3,M31899_at
1939,PERFORIN 1 PRECURSOR,M31951_at
1940,ALDH1 Aldehyde dehydrogenase 1; soluble,M31994_at
1941,NCF2 Neutrophil cytosolic factor 2 (65kD; chronic granulomatous disease; autosomal 2),M32011_at
1942,GB DEF = H19 RNA gene,M32053_at
1943,SRD5A1 Steroid-5-alpha-reductase; alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1),M32313_at
1944,TNFR2 Tumor necrosis factor receptor 2 (75kD),M32315_at
1945,ICAM2 Intercellular adhesion molecule 2,M32334_at
1946,ARSB Arylsulfatase B,M32373_at
1947,PLACENTAL PROTEIN 11 PRECURSOR,M32402_at
1948,Protein kinase (JNK2) mRNA,M32405_at
1949,RPS11 Ribosomal protein S11,M32598_at
1950,STATH Statherin,M32639_at
1951,SRI Sorcin,M32886_at
1952,Fc-epsilon-receptor gamma-chain mRNA,M33195_at
1953,VCL Vinculin,M33308_at
1954,PRKAR1A CAMP-dependent protein kinase regulatory subunit type I,M33336_at
1955,Cell adhesion protein (SQM1) mRNA,M33374_at
1956,PHOSDUCIN,M33478_at
1957,LARGE PROLINE-RICH PROTEIN BAT2,M33518_at
1958,LARGE PROLINE-RICH PROTEIN BAT3,M33521_at
1959,GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA,M33552_at
1960,COL4A2 Collagen; type IV; alpha 2,M33653_at
1961,26-kDa cell surface protein TAPA-1 mRNA,M33680_at
1962,ODC1 Ornithine decarboxylase 1,M33764_at
1963,MX1 Myxovirus (influenza) resistance 1; homolog of murine (interferon-inducible protein p78),M33882_at
1964,CA1 Carbonic anhydrase I,M33987_at
1965,GB DEF = Alpha-2-adrenergic receptor (alpha-2 c2) gene,M34041_at
1966,LTBP1 Latent transforming growth factor beta binding protein 1,M34057_at
1967,CDC25C Cell division cycle 25C,M34065_at
1968,PROBABLE 26S PROTEASE SUBUNIT TBP-1,M34079_at
1969,CLAPB1 Clathrin-associated/assembly/adaptor protein; large; beta 1,M34175_at
1970,PRKACB Protein kinase; cAMP-dependent; catalytic; beta,M34181_at
1971,CAMP-DEPENDENT PROTEIN KINASE; GAMMA-CATALYTIC SUBUNIT,M34182_at
1972,IVD Isovaleryl Coenzyme A dehydrogenase,M34192_at
1973,ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},M34309_at
1974,ITGA2B Integrin; alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex; antigen CD41B),M34344_at
1975,GLB1 Beta-D-galactosidase,M34423_at
1976,IDO Indole 2;3-dioxygenase,M34455_at
1977,FKBP1 FK506-binding protein 1 (12kD),M34539_at
1978,PLCG1 Phospholipase C; gamma 1 (formerly subtype 148),M34667_at
1979,PTPRA Protein tyrosine phosphatase; receptor type; alpha polypeptide,M34668_at
1980,FACTOR VIII INTRON 22 PROTEIN,M34677_at
1981,GB DEF = M1 gene for muscarinic acetylcholine receptor,M35128_at
1982,GB DEF = Integrin B-6 mRNA,M35198_at
1983,TUMOR-ASSOCIATED ANTIGEN CO-029,M35252_at
1984,GB DEF = Tyrosine kinase arg gene mRNA,M35296_at
1985,RALB V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein),M35416_at
1986,FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase; Bombay phenotype included),M35531_at
1987,INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR,M35878_at
1988,LIG1 Ligase I; DNA; ATP-dependent,M36067_at
1989,DNA-REPAIR PROTEIN XRCC1,M36089_at
1990,SYNAPTOBREVIN 1,M36200_at
1991,SYNAPTOBREVIN 2,M36205_at
1992,ARF4 ADP-ribosylation factor 4,M36341_at
1993,HPX Hemopexin,M36803_at
1994,CD53 CD53 antigen,M37033_at
1995,ATP5 ATP synthase; H+ transporting; mitochondrial,M37104_at
1996,Ras inhibitor mRNA; 3' end,M37190_at
1997,COUP TRANSCRIPTION FACTOR,M37197_at
1998,GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene; last exon,M37245_at
1999,GOT1 Glutamic-oxaloacetic transaminase 1; soluble (aspartate aminotransferase 1),M37400_at
2000,CSF1 Colony-stimulating factor 1 (M-CSF),M37435_at
2001,H2AZ H2AZ histone,M37583_at
2002,PAM Peptidylglycine alpha-amidating monooxygenase,M37721_at
2003,GB DEF = Neurotrophin-3 (NT-3) gene,M37763_at
2004,CD48 CD48 antigen (B-cell membrane protein),M37766_at
2005,CD28 gene (glycoprotein CD28) extracted from Human T-cell membrane glycoprotein CD28 mRNA,M37815_cds1_at
2006,PROTEIN FGF-5 PRECURSOR,M37825_at
2007,Slow twitch skeletal muscle/cardiac muscle troponin C gene,M37984_rna1_at
2008,S100A10 S100 calcium-binding protein A10 (annexin II ligand; calpactin I; light polypeptide (p11)),M38591_at
2009,CD9 CD9 antigen,M38690_at
2010,PLP Proteolipid protein (Pelizaeus-Merzbacher disease; spastic paraplegia 2; uncomplicated),M54927_at
2011,ATRIAL NATRIURETIC FACTOR PRECURSOR,M54951_at
2012,K-ras oncogene protein mRNA,M54968_at
2013,CD72 CD72 antigen,M54992_at
2014,PPBP Connective tissue activation peptide III,M54995_at
2015,ACHE Acetylcholinesterase (YT blood group),M55040_at
2016,SYNAPTOTAGMIN I,M55047_at
2017,NCF1 47 kD autosomal chronic granulomatous disease protein,M55067_at
2018,CFTR Cystic fibrosis conductance regulator,M55131_at
2019,FAH Fumarylacetoacetate,M55150_at
2020,PROTEIN-GLUTAMINE GAMMA-GLUTAMYLTRANSFERASE,M55153_at
2021,AGC1 Aggrecan 1 (chondroitin sulfate proteoglycan 1; large aggregating proteoglycan; antigen identified by monoclonal antibody A0122),M55172_at
2022,LAMC1 Laminin; gamma 1 (formerly LAMB2),M55210_at
2023,CSNK2A1 Casein kinase 2; alpha 1 polypeptide,M55265_at
2024,EVI2A PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2A PROTEIN),M55267_at
2025,CSNK2A2 Casein kinase 2; alpha prime polypeptide,M55268_at
2026,Protein kinase C-L (PRKCL) mRNA,M55284_at
2027,GB DEF = IgE chain; last 2 exons,M55420_at
2028,SLC2A5 Solute carrier family 2 (facilitated glucose transporter); member 5,M55531_at
2029,GBP1 Guanylate binding protein 1; interferon-inducible; 67kD,M55542_at
2030,INTERFERON-INDUCED GUANYLATE-BINDING PROTEIN 2,M55543_at
2031,MMP2 Matrix metalloproteinase 2 (gelatinase A; 72kD gelatinase; 72kD type IV collagenase),M55593_at
2032,MGAT1 N-acetylglucosaminyltransferase I,M55621_at
2033,VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR,M55671_at
2034,ME2 Malic enzyme 2; mitochondrial,M55905_at
2035,GB DEF = Membrane glycoprotein gp130 mRNA,M57230_at
2036,GB DEF = Parathyroid hormone-related peptide (PTHRP) gene; exons 1A; 1B; 1C; and 2,M57293_at
2037,PTN Pleiotrophin (heparin binding growth factor 8; neurite growth-promoting factor 1),M57399_at
2038,GB DEF = Urate oxidase (UOX) gene; exon 5,M57471_at
2039,SCYA1 gene (secreted protein I-309) extracted from Human secreted protein (I-309) gene,M57506_rna1_at
2040,ARF5 ADP-ribosylation factor 5,M57567_at
2041,GLI3 PROTEIN,M57609_at
2042,LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),M57710_at
2043,EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 1 PRECURSOR,M57730_at
2044,TCF1 Transcription factor 1; hepatic; LF-B1; hepatic nuclear factor (HNF1); albumin proximal factor,M57732_at
2045,ARF6 ADP-ribosylation factor 6,M57763_at
2046,CA6 Carbonic anhydrase VI,M57892_at
2047,UBE1 Ubiquitin activating enzyme E1,M58028_at
2048,Membrane-associated protein (HEM-1) mRNA,M58285_at
2049,ZNF42 Zinc finger protein 42 (myeloid-specific retinoic acid-responsive),M58297_at
2050,SYN1 gene (synapsin I) extracted from Human synapsin I (SYN1) gene,M58378_cds1_at
2051,RPS4Y Ribosomal protein S4; Y-linked,M58459_at
2052,CEREBELLIN 1 PRECURSOR,M58583_at
2053,FUT4 Fucosyltransferase 4 (alpha (1;3) fucosyltransferase; myeloid-specific),M58597_at
2054,Heparin cofactor II (HCF2) gene; exons 1 through 5,M58600_rna1_at
2055,NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105),M58603_at
2056,TYROSINE-PROTEIN KINASE RECEPTOR ECK PRECURSOR,M59371_at
2057,TNFAIP1 Tumor necrosis factor alpha inducible protein A20,M59465_at
2058,S-100 PROTEIN; BETA CHAIN,M59488_at
2059,TISSUE FACTOR PATHWAY INHIBITOR PRECURSOR,M59499_at
2060,NATURAL KILLER CELLS PROTEIN 4 PRECURSOR,M59807_at
2061,C4A Complement component 4A,M59815_at
2062,CSF3R Colony stimulating factor 3 receptor (granulocyte),M59820_at
2063,GB DEF = MHC class III HSP70-HOM gene (HLA),M59829_at
2064,HEAT SHOCK 70 KD PROTEIN 1,M59830_at
2065,ITGA3 Integrin alpha-3 subunit,M59911_at
2066,SMPD1 Sphingomyelin phosphodiesterase 1; acid lysosomal (acid sphingomyelinase),M59916_at
2067,CSF2RB Colony stimulating factor 2 receptor; beta; low-affinity (granulocyte-macrophage),M59941_at
2068,MGF Mast cell growth factor,M59964_at
2069,PTGS1 Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),M59979_at
2070,Heparin binding protein (HBp17) mRNA,M60047_at
2071,HRC Histidine-rich calcium binding protein,M60052_at
2072,GALT Galactose-1-phosphate uridyl transferase,M60091_at
2073,AMP DEAMINASE 1,M60092_at
2074,Testicular H1 histone (H1) gene,M60094_rna1_at
2075,HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene,M60165_cds1_at
2076,DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor),M60278_at
2077,EPB42 Erythrocyte membrane protein band 4.2,M60298_at
2078,GB DEF = Alpha-1 collagen type II gene; exons 1; 2 and 3,M60299_at
2079,Transforming growth factor-beta (tgf-beta) mRNA,M60314_at
2080,BONE MORPHOGENETIC PROTEIN 6 PRECURSOR,M60315_at
2081,PRM1 Protamine 1,M60331_at
2082,EPOR Erythropoietin receptor,M60459_at
2083,DCK Deoxycytidine kinase,M60527_at
2084,TGFB3 gene (transforming growth factor-beta 3) extracted from Human transforming growth factor beta-3 gene; 5' end,M60556_rna2_at
2085,FPR1 Formyl peptide receptor 1,M60626_at
2086,Homeobox gene,M60721_at
2087,RIBOSOMAL PROTEIN S6 KINASE,M60724_at
2088,GB DEF = Histone H1 (H1F4) gene,M60748_at
2089,GB DEF = Histone H4 (H4) gene,M60749_at
2090,GB DEF = Histone H2A.1 (H2A) gene,M60752_at
2091,EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN),M60830_at
2092,RPS16 Ribosomal protein S16,M60854_at
2093,Nucleolin gene,M60858_rna1_at
2094,Surface antigen mRNA,M60922_at
2095,Activator protein 2B (AP-2B) mRNA,M61156_at
2096,BDNF Brain-derived neurotrophic factor,M61176_at
2097,CLEAVAGE SIGNAL-1 PROTEIN,M61199_at
2098,EPB41 Erythrocyte membrane protein band 4.1 (elliptocytosis 1; RH-linked),M61733_at
2099,TUBG Tubulin; gamma polypeptide,M61764_at
2100,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY ALPHA SUBUNIT,M61906_at
2101,LAMB1 Laminin B1 chain,M61916_at
2102,Growth/differentiation factor 1 (GDF-1) mRNA,M62302_at
2103,Modulator recognition factor I (MRF-1) mRNA; 3' end,M62324_at
2104,MCC Mutated in colorectal cancers,M62397_at
2105,GABRR1 Gamma-aminobutyric acid (GABA) receptor; rho 1,M62400_at
2106,IGFBP6 Insulin-like growth factor binding protein 6,M62402_at
2107,F2R Coagulation factor II (thrombin) receptor,M62424_at
2108,C4BPA Complement component 4-binding protein; alpha,M62486_at
2109,C5R1 Complement component 5 receptor 1 (C5a ligand),M62505_at
2110,ATP6C Vacuolar H+ ATPase proton channel subunit,M62762_at
2111,NAGA N-acetylgalactosaminidase; alpha-,M62783_at
2112,SSA1 Sjogren syndrome antigen A1 (52kD; ribonucleoprotein autoantigen SS-A/Ro),M62800_at
2113,TCF6L1 Transcription factor 6-like 1 (mitochondrial transcription factor 1-like),M62810_at
2114,Transcription factor ETR101 mRNA,M62831_at
2115,AOAH Acyloxyacyl hydrolase (neutrophil),M62840_at
2116,PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGEN HUD,M62843_at
2117,RDS Retinal degeneration slow,M62958_at
2118,ALOX12 Arachidonate 12-lipoxygenase,M62982_at
2119,Thyroid autoantigen (truncated actin-binding protein) mRNA,M62994_at
2120,CTSD Cathepsin D (lysosomal aspartyl protease),M63138_at
2121,GIF Polymeric immunoglobulin receptor,M63154_at
2122,AKT1 V-akt murine thymoma viral oncogene homolog 1,M63167_at
2123,AMFR Autocrine motility factor receptor,M63175_at
2124,TARS Threonyl-tRNA synthetase,M63180_at
2125,CDR2 Cerebellar degeneration-related protein (62kD),M63256_at
2126,GB DEF = 5-lipoxygenase activating protein (FLAP) gene; exon 5,M63262_at
2127,CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J),M63379_at
2128,Desmin gene,M63391_rna1_at
2129,MATRIN 3,M63483_at
2130,RPA1 Replication protein A1 (70kD),M63488_at
2131,PPIB Peptidylprolyl isomerase B (cyclophilin B),M63573_at
2132,THYROLIBERIN PRECURSOR,M63582_at
2133,TAL1 T-cell acute lymphocytic leukemia 1 (NOTE: redefinition of symbol),M63589_at
2134,PLN Phospholamban,M63603_at
2135,MOG Myelin oligodendrocyte glycoprotein,M63623_at
2136,"HIGH AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR I ""A FORM"" PRECURSOR",M63835_at
2137,GB DEF = Transcriptional enhancer factor (TEF1) DNA,M63896_at
2138,GNA15 Guanine nucleotide binding protein (G protein); alpha 15 (Gq class),M63904_at
2139,CD27 CD27 antigen (T cell activation antigen),M63928_at
2140,LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1,M63959_at
2141,Gastric H;K-ATPase catalytic subunit gene,M63962_rna1_at
2142,ALDEHYDE DEHYDROGENASE; MITOCHONDRIAL X PRECURSOR,M63967_at
2143,FMO1 Flavin-containing monooxygenase 1,M64082_at
2144,High density lipoprotein binding protein (HBP) mRNA,M64098_at
2145,GAMMA-GLUTAMYLTRANSPEPTIDASE 5 PRECURSOR,M64099_at
2146,Udulin 1 mRNA; 3' end,M64108_at
2147,TYROSINE-PROTEIN KINASE JAK1,M64174_at
2148,FGFR3 Fibroblast growth factor receptor 3 (achondroplasia; thanatophoric dwarfism),M64347_at
2149,GB DEF = Rhom-3 gene; exon,M64358_at
2150,APOLIPOPROTEIN AI REGULATORY PROTEIN-1,M64497_at
2151,F13A1 gene (coagulation factor XIIIb) extracted from Human factor XIII b subunit gene,M64554_rna1_at
2152,MAP4 Microtubule-associated protein 4,M64571_at
2153,PTPN3 Protein tyrosine phosphatase; non-receptor type 3,M64572_at
2154,GLDC Glycine cleavage system protein P (glycine decarboxylase),M64590_at
2155,RAC2 Ras-related C3 botulinum toxin substrate 2,M64595_at
2156,HEAT SHOCK FACTOR PROTEIN 1,M64673_at
2157,GB DEF = K+ channel subunit gene,M64676_at
2158,RPS25 Ribosomal protein S25,M64716_at
2159,RAP1GA1 RAP1; GTPase activating protein 1,M64788_at
2160,MPP1 Membrane protein; palmitoylated 1 (55kD),M64925_at
2161,PPP2R2A Protein phosphatase 2 (formerly 2A); regulatory subunit B (PR 52); alpha isoform,M64929_at
2162,Protein phosphatase 2A beta subunit mRNA,M64930_at
2163,XK Kell blood group precursor (McLeod phenotype),M64934_at
2164,Retinoic acid-inducible endogenous retroviral DNA,M64936_at
2165,PSMA2 Proteasome component C2,M64992_at
2166,PRKAR1B Protein kinase; cAMP-dependent; regulatory; type I; beta,M65066_at
2167,FSHR Follicle stimulating hormone receptor,M65085_at
2168,Methylmalonyl-CoA mutase (MCM) mRNA,M65131_rna1_at
2169,EDN2 Endothelin 2,M65199_at
2170,HEAT SHOCK FACTOR PROTEIN 2,M65217_at
2171,PPP2R1B Protein phosphatase 2 (formerly 2A); regulatory subunit A (PR 65); beta isoform,M65254_at
2172,IL12B Natural killer cell stimulatory factor (IL12B),M65290_at
2173,IL12A Natural killer cell stimulatory factor (IL12A),M65291_at
2174,D(1B) DOPAMINE RECEPTOR,M67439_at
2175,PCI gene (plasminogen activator inhibitor 3) extracted from Human protein C inhibitor gene,M68516_rna1_at
2176,CDK2 Cyclin-dependent kinase 2,M68520_at
2177,MAOA Monoamine oxidase A,M68840_at
2178,ORF mRNA,M68864_at
2179,PLA2G4 Phospholipase A2; group IV,M68874_at
2180,GATA2 GATA-binding protein 2,M68891_at
2181,Alcohol dehydrogenase 6 gene,M68895_rna1_at
2182,GB DEF = Protein-tyrosine phosphatase mRNA,M68941_at
2183,Globin gene,M69023_at
2184,PRE-MRNA SPLICING FACTOR SF2; P32 SUBUNIT PRECURSOR,M69039_at
2185,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,M69043_at
2186,MSN Moesin,M69066_at
2187,MAOB Monoamine oxidase B,M69177_at
2188,Bullous pemphigoid antigen (BPAG1) mRNA,M69225_at
2189,ARNT Aryl hydrocarbon receptor nuclear translocator,M69238_at
2190,TPP2 Tripeptidyl peptidase II,M73047_at
2191,Glucocorticoid receptor repression factor 1 (GRF-1) mRNA,M73077_at
2192,GRPR Gastrin-releasing peptide receptor,M73481_at
2193,NMBR Neuromedin B receptor,M73482_at
2194,Heat-stable enterotoxin receptor mRNA,M73489_at
2195,POLYPOSIS LOCUS PROTEIN 1,M73547_at
2196,CPA3 Carboxypeptidase A3 (mast cell),M73720_at
2197,ITGB8 Integrin; beta 8,M73780_at
2198,Arginine-rich nuclear protein mRNA,M74002_at
2199,SRD5A2 Steroid 5-alpha-reductase 2 (SRD5A2),M74047_at
2200,TB1 gene mRNA; 3' end,M74089_at
2201,Cyclin mRNA,M74091_at
2202,G1/S-SPECIFIC CYCLIN E,M74093_at
2203,ACADL Acyl-Coenzyme A dehydrogenase; long chain,M74096_at
2204,CUTL1 Cut (Drosophila)-like 1 (CCAAT displacement protein),M74099_at
2205,75 KD INOSITOL-1;4;5-TRISPHOSPHATE 5-PHOSPHATASE PRECURSOR,M74161_at
2206,TAC1R Tachykinin 1 receptor (substance P receptor; neurokinin 1 receptor) {alternative products},M74290_at
2207,HOXA4 Homeo box A4,M74297_at
2208,TAP2 Transporter 2; ABC (ATP binding cassette),M74447_at
2209,ARF3 ADP-ribosylation factor 3,M74491_at
2210,UBE2A Ubiquitin-conjugating enzyme E2A (RAD6 homolog),M74524_at
2211,UBE2B Ubiquitin-conjugating enzyme E2B (RAD6 homolog),M74525_at
2212,ALDH3 Aldehyde dehydrogenase 3,M74542_at
2213,SIL mRNA,M74558_at
2214,SEF2-1A protein (SEF2-1A) mRNA; 5' end,M74719_at
2215,GAD2 Glutamate decarboxylase 2,M74826_at
2216,FRAP FK506 binding protein 12-rapamycin associated protein,M75099_at
2217,CPB2 Prepro-plasma carboxypeptidase B,M75106_at
2218,H;K-ATPase beta subunit mRNA,M75110_at
2219,HK1 Hexokinase 1,M75126_at
2220,DDC Dopa decarboxylase (aromatic L-amino acid decarboxylase),M76180_at
2221,RNS1 Ribonuclease A (pancreatic),M76231_at
2222,FN1 Fibronectin 1,M76378_at
2223,Carbonic anhydrase VII (CA VII) gene,M76424_at
2224,ADRA1A Adrenergic; alpha-1A-; receptor,M76446_at
2225,DSG3 Desmoglein 3 (pemphigus vulgaris antigen),M76482_at
2226,Neuronal DHP-sensitive; voltage-dependent; calcium channel alpha-1D subunit mRNA,M76558_at
2227,Neuronal DHP-sensitive; voltage-dependent; calcium channel alpha-2b subunit mRNA,M76559_at
2228,CORTICOSTEROID 11-BETA-DEHYDROGENASE; ISOZYME 1,M76665_at
2229,GTF2B General transcription factor IIB,M76766_at
2230,TMOD Tropomodulin,M77016_at
2231,GALN Galanin,M77140_at
2232,NUCLEOLYSIN TIA-1,M77142_at
2233,Ribosomal protein S6 gene and flanking regions,M77232_rna1_at
2234,Cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit (HH1) mRNA,M77235_at
2235,Transforming growth factor-beta induced gene product (BIGH3) mRNA,M77349_at
2236,YY1 YY1 transcription factor,M77698_at
2237,GATA2 GATA-binding protein 2,M77810_at
2238,PYCR1 Pyrroline-5-carboxylate reductase 1,M77836_at
2239,PML Probable transcription factor PML {alternative products},M79462_at
2240,INTEGRAL MEMBRANE PROTEIN E16,M80244_at
2241,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,M80254_at
2242,GB DEF = M5 muscarinic acetylcholine receptor gene,M80333_at
2243,Protein kinase A catalytic subunit mRNA; 3' end,M80335_at
2244,PUTATIVE SERINE/THREONINE-PROTEIN KINASE P78,M80359_at
2245,GP9 Platelet glycoprotein IX,M80478_at
2246,PACE4 Paired basic amino acid cleaving system 4,M80482_at
2247,PLACENTAL CALCIUM-BINDING PROTEIN,M80563_at
2248,Cdc2-related protein kinase (CHED) mRNA,M80629_at
2249,THROMBOXANE-A SYNTHASE,M80647_at
2250,B12 protein mRNA,M80783_at
2251,AHNAK AHNAK nucleoprotein (desmoyokin),M80899_at
2252,CPB1 Carboxypeptidase B1 (tissue),M81057_at
2253,ADH5 Alcohol dehydrogenase 5 chi subunit (class III),M81118_at
2254,COL4A3 Collagen; type IV; alpha 3,M81379_at
2255,TRANSCRIPTION ELONGATION FACTOR S-II,M81601_at
2256,GRANCALCIN,M81637_at
2257,MNDA Myeloid cell nuclear differentiation antigen,M81750_at
2258,40S RIBOSOMAL PROTEIN S19,M81757_at
2259,SODIUM CHANNEL PROTEIN; SKELETAL MUSCLE ALPHA-SUBUNIT,M81758_at
2260,SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene; ORF's 1-3's,M81780_cds3_at
2261,SMPD1 gene extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene; ORF's 1-3's,M81780_cds4_at
2262,SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene; ORF's 1-3's,M81780_cds5_at
2263,GB DEF = Somatostatin receptor isoform 1 gene,M81829_at
2264,GB DEF = Somatostatin receptor isoform 2 (SSTR2) gene,M81830_at
2265,GAD2 Glutamate decarboxylase 2 (pancreatic islets and brain; 65kD),M81882_at
2266,CDC25A Cell division cycle 25A,M81933_at
2267,ANX4 Annexin IV (placental anticoagulant protein II),M82809_at
2268,ETS-RELATED TRANSCRIPTION FACTOR ELF-1,M82882_at
2269,GABRB3 Gamma-aminobutyric acid (GABA) A receptor; beta 3,M82919_at
2270,N-benzoyl-L-tyrosyl-p-amino-benzoic acid hydrolase alpha subunit (PPH alpha) mRNA,M82962_at
2271,PGM1 Phosphoglucomutase 1,M83088_at
2272,GB DEF = Serotonin receptor gene,M83181_at
2273,COX7A1 Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),M83186_at
2274,TRANSCRIPTION FACTOR RELB,M83221_at
2275,TCF12 Transcription factor 12 (HTF4; helix-loop-helix transcription factors 4),M83233_at
2276,CYTOCHROME C OXIDASE POLYPEPTIDE VIA-HEART PRECURSOR,M83308_at
2277,ATP2B4 ATPase; Ca++ transporting; plasma membrane 4,M83363_at
2278,CD30 CD30 antigen (Ki-1 antigen),M83554_at
2279,BETA-1;4 N-ACETYLGALACTOSAMINYLTRANSFERASE,M83651_at
2280,PTPN9 Protein tyrosine phosphatase; non-receptor type 9,M83738_at
2281,Arginine-rich protein (ARP) gene,M83751_at
2282,FMO2 Flavin-containing monooxygenase 2,M83772_at
2283,Beige-like protein (BGL) mRNA; partial cds,M83822_at
2284,GB DEF = Receptor tyrosine kinase (HEK) mRNA,M83941_at
2285,ARF1 ADP-ribosylation factor 1,M84332_at
2286,CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5; EJ16; EJ30; EL32 and G344),M84349_at
2287,DF D component of complement (adipsin),M84526_at
2288,PUTATIVE TACHYKININ RECEPTOR,M84605_at
2289,RPS3A Ribosomal protein S3A,M84711_at
2290,CALR Autoantigen calreticulin,M84739_at
2291,CSTF2 Cleavage stimulation factor; 3' pre-RNA; subunit 2; 64kD,M85085_at
2292,ELK4 SRF accessory protein 1B (SAP-1),M85164_at
2293,ELK4 ELK4; ETS-domain protein (SRF accessory protein 1) NOTE: Symbol and name provisional,M85165_at
2294,Homologue of yeast sec7 mRNA,M85169_at
2295,KCNA3 Potassium voltage-gated channel; shaker-related subfamily; member 3,M85217_at
2296,GB DEF = Heavy chain disease IgA chain gene; CH3 region with a 369 bp deletion; 3' end,M85220_at
2297,GB DEF = Dopamine D1A receptor gene; complete exon 1; and exon 2; 5' end,M85247_at
2298,NKG5 PROTEIN PRECURSOR,M85276_at
2299,YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; zeta polypeptide,M86400_at
2300,ACTN2 Actinin alpha 2 ,M86406_at
2301,ACTN3 Actinin alpha-3,M86407_at
2302,GB DEF = Neurotrophin-4 (NT-4) gene,M86528_at
2303,PBX1 PBX1a and PBX1b,M86546_at
2304,HnRNP C2 protein mRNA,M86667_at
2305,TTK TTK protein kinase,M86699_at
2306,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,M86707_at
2307,SSRP1 High mobility group box,M86737_at
2308,TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521,M86752_at
2309,GB DEF = Pyruvate dehydrogenase complex (PDHA2) gene,M86808_at
2310,INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN COMPLEX ACID LABILE CHAIN PRECURSOR,M86826_at
2311,Connexin 26 (GJB2) mRNA,M86849_at
2312,PXMP3 Peroxisomal membrane protein 3 (35kD; Zellweger syndrome),M86852_at
2313,GABRR2 Gamma-aminobutyric acid (GABA) receptor; rho 2,M86868_at
2314,OSBP Oxysterol binding protein,M86917_at
2315,GS1 PROTEIN,M86934_at
2316,69/71 KD,M87284_at
2317,RFC2 Replication factor C (activator 1) 2; 40kD subunit,M87338_at
2318,RFC4 Replication factor C; 37-kD subunit,M87339_at
2319,69/71 KD,M87434_at
2320,UNG Uracil-DNA glycosylase,M87499_at
2321,TRANSCRIPTIONAL REGULATOR ISGF3 GAMMA SUBUNIT,M87503_at
2322,GALECTIN-2,M87860_at
